sep=,
Type,FSVA3013,
Version,1.40,
Date,26.Mar 2023,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,30.54137420654296875,
163500,33.83402252197265625,
172500,36.65453338623046875,
181500,35.6490478515625,
190500,35.5127716064453125,
199500,37.4438934326171875,
208500,38.25424957275390625,
217500,33.09063720703125,
226500,35.9489898681640625,
235500,36.5098876953125,
244500,34.81710052490234375,
253500,39.40349578857421875,
262500,39.64716339111328125,
271500,33.2237091064453125,
280500,36.59835052490234375,
289500,36.03336334228515625,
298500,37.847930908203125,
307500,38.36761474609375,
316500,35.30269622802734375,
325500,36.1429443359375,
334500,37.6591949462890625,
343500,37.60153961181640625,
352500,37.290679931640625,
361500,31.7717132568359375,
370500,28.744415283203125,
379500,36.15395355224609375,
388500,37.6525421142578125,
397500,44.7637786865234375,
406500,45.087200164794921875,
415500,44.964141845703125,
424500,50.054126739501953125,
433500,48.994243621826171875,
442500,50.532299041748046875,
451500,48.23717498779296875,
460500,44.76398468017578125,
469500,45.59946441650390625,
478500,44.97286224365234375,
487500,38.13922119140625,
496500,39.84877777099609375,
505500,41.843597412109375,
514500,44.208370208740234375,
523500,45.598491668701171875,
532500,44.112903594970703125,
541500,42.81932830810546875,
550500,45.668186187744140625,
559500,45.45694732666015625,
568500,46.9365997314453125,
577500,45.804607391357421875,
586500,46.00347900390625,
595500,46.412353515625,
604500,48.121906280517578125,
613500,46.60182952880859375,
622500,47.150051116943359375,
631500,48.1182708740234375,
640500,50.442806243896484375,
649500,51.164188385009765625,
658500,51.676746368408203125,
667500,50.800807952880859375,
676500,48.81147003173828125,
685500,49.445865631103515625,
694500,51.197460174560546875,
703500,50.663043975830078125,
712500,51.050724029541015625,
721500,49.312274932861328125,
730500,51.909748077392578125,
739500,51.172901153564453125,
748500,49.878589630126953125,
757500,48.675151824951171875,
766500,49.400501251220703125,
775500,50.088008880615234375,
784500,49.831142425537109375,
793500,51.285015106201171875,
802500,50.5389556884765625,
811500,52.412693023681640625,
820500,50.768657684326171875,
829500,53.410572052001953125,
838500,50.593250274658203125,
847500,53.8490447998046875,
856500,54.3687896728515625,
865500,51.768329620361328125,
874500,53.408908843994140625,
883500,53.6176605224609375,
892500,52.725799560546875,
901500,54.669506072998046875,
910500,52.961635589599609375,
919500,50.841156005859375,
928500,52.487548828125,
937500,49.291046142578125,
946500,50.5502777099609375,
955500,51.3459930419921875,
964500,47.842708587646484375,
973500,49.842426300048828125,
982500,48.720592498779296875,
991500,46.625667572021484375,
1000500,50.490741729736328125,
1009500,48.56195068359375,
1018500,46.404693603515625,
1027500,48.3660430908203125,
1036500,44.98632049560546875,
1045500,44.75312042236328125,
1054500,48.132564544677734375,
1063500,42.524139404296875,
1072500,44.322414398193359375,
1081500,45.71630096435546875,
1090500,42.17459869384765625,
1099500,43.47812652587890625,
1108500,45.47066497802734375,
1117500,44.089324951171875,
1126500,45.9970855712890625,
1135500,44.164096832275390625,
1144500,45.32781982421875,
1153500,43.57682037353515625,
1162500,42.0881805419921875,
1171500,40.60113525390625,
1180500,45.102497100830078125,
1189500,46.022251129150390625,
1198500,48.098690032958984375,
1207500,45.3519744873046875,
1216500,47.20733642578125,
1225500,46.24063873291015625,
1234500,48.958538055419921875,
1243500,49.63692474365234375,
1252500,51.852783203125,
1261500,51.282306671142578125,
1270500,53.319637298583984375,
1279500,51.403881072998046875,
1288500,49.095928192138671875,
1297500,46.812007904052734375,
1306500,49.0700225830078125,
1315500,53.14806365966796875,
1324500,54.57630157470703125,
1333500,54.006114959716796875,
1342500,54.7194061279296875,
1351500,54.48749542236328125,
1360500,56.719867706298828125,
1369500,57.425281524658203125,
1378500,57.10942840576171875,
1387500,60.41217803955078125,
1396500,60.795955657958984375,
1405500,59.064815521240234375,
1414500,59.384723663330078125,
1423500,57.46477508544921875,
1432500,55.64684295654296875,
1441500,61.571407318115234375,
1450500,61.980884552001953125,
1459500,63.054462432861328125,
1468500,64.0886993408203125,
1477500,64.075042724609375,
1486500,62.8932342529296875,
1495500,64.0762176513671875,
1504500,62.332706451416015625,
1513500,64.816864013671875,
1522500,64.570037841796875,
1531500,62.5112762451171875,
1540500,62.00586700439453125,
1549500,60.686557769775390625,
1558500,57.532001495361328125,
1567500,57.308361053466796875,
1576500,58.9797210693359375,
1585500,55.6539306640625,
1594500,60.08821868896484375,
1603500,58.320682525634765625,
1612500,55.434711456298828125,
1621500,55.882541656494140625,
1630500,55.97259521484375,
1639500,55.792095184326171875,
1648500,55.38323974609375,
1657500,54.41815948486328125,
1666500,53.13701629638671875,
1675500,54.258472442626953125,
1684500,54.7246246337890625,
1693500,52.6949615478515625,
1702500,51.254161834716796875,
1711500,52.227146148681640625,
1720500,51.83237457275390625,
