sep=,
Type,FSVA3013,
Version,1.40,
Date,26.Mar 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,15076500.000000,Hz
Freq Offset,0.000000,Hz
Start,154500.000000,Hz
Stop,29998500.000000,Hz
Span,29844000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,9000.000000,Hz
VBW,100000.000000,Hz
SWT,0.000654,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,3317,
154500,19.632720947265625,
163500,23.93422698974609375,
172500,21.694305419921875,
181500,19.505523681640625,
190500,21.73058319091796875,
199500,25.30858612060546875,
208500,23.25884246826171875,
217500,21.18929290771484375,
226500,18.72745513916015625,
235500,19.43434906005859375,
244500,21.26697540283203125,
253500,22.7729034423828125,
262500,23.16806793212890625,
271500,19.87697601318359375,
280500,19.5271453857421875,
289500,19.022796630859375,
298500,20.05339813232421875,
307500,21.082244873046875,
316500,19.0199432373046875,
325500,21.1173858642578125,
334500,24.3471221923828125,
343500,19.044036865234375,
352500,15.2811431884765625,
361500,12.8781890869140625,
370500,13.5117645263671875,
379500,17.8748016357421875,
388500,18.69606781005859375,
397500,21.9096832275390625,
406500,25.33296966552734375,
415500,26.150848388671875,
424500,27.51982879638671875,
433500,29.0711822509765625,
442500,29.65145111083984375,
451500,26.75278472900390625,
460500,25.19647216796875,
469500,25.66602325439453125,
478500,23.67601776123046875,
487500,17.65987396240234375,
496500,18.48838043212890625,
505500,21.1021270751953125,
514500,20.1463470458984375,
523500,21.43344879150390625,
532500,21.305084228515625,
541500,20.1287994384765625,
550500,21.040191650390625,
559500,21.07051849365234375,
568500,21.79103851318359375,
577500,25.9978485107421875,
586500,23.395111083984375,
595500,23.83890533447265625,
604500,24.79593658447265625,
613500,23.3253631591796875,
622500,23.41365814208984375,
631500,23.38677978515625,
640500,22.7604217529296875,
649500,26.12154388427734375,
658500,25.8212890625,
667500,23.642547607421875,
676500,24.0346221923828125,
685500,23.9724884033203125,
694500,23.38092041015625,
703500,26.3405914306640625,
712500,24.4157562255859375,
721500,24.14528656005859375,
730500,23.2703704833984375,
739500,25.34194183349609375,
748500,22.20441436767578125,
757500,22.370391845703125,
766500,23.92708587646484375,
775500,22.98365020751953125,
784500,25.76410675048828125,
793500,25.30593109130859375,
802500,24.43759918212890625,
811500,24.65024566650390625,
820500,26.90390777587890625,
829500,24.59481048583984375,
838500,27.29070281982421875,
847500,25.32566070556640625,
856500,24.43254852294921875,
865500,28.8018951416015625,
874500,26.45291900634765625,
883500,24.24233245849609375,
892500,26.62189483642578125,
901500,21.42679595947265625,
910500,25.22509002685546875,
919500,24.34505462646484375,
928500,21.11045074462890625,
937500,25.95062255859375,
946500,22.56583404541015625,
955500,21.02490997314453125,
964500,24.55715179443359375,
973500,17.50542449951171875,
982500,19.8338623046875,
991500,19.89980316162109375,
1000500,16.54268646240234375,
1009500,20.64612579345703125,
1018500,18.49558258056640625,
1027500,16.93703460693359375,
1036500,17.4985809326171875,
1045500,14.55791473388671875,
1054500,16.78472137451171875,
1063500,15.22367095947265625,
1072500,15.4008026123046875,
1081500,15.91130828857421875,
1090500,15.788970947265625,
1099500,15.60825347900390625,
1108500,14.8038482666015625,
1117500,14.50774383544921875,
1126500,14.5887908935546875,
1135500,16.37584686279296875,
1144500,17.86742401123046875,
1153500,16.0662078857421875,
1162500,13.73479461669921875,
1171500,12.7993316650390625,
1180500,13.00305938720703125,
1189500,14.06099700927734375,
1198500,16.37500762939453125,
1207500,13.012359619140625,
1216500,16.28951263427734375,
1225500,16.56890869140625,
1234500,17.54883575439453125,
1243500,19.43050384521484375,
1252500,16.35254669189453125,
1261500,19.755035400390625,
1270500,19.5774078369140625,
1279500,19.86829376220703125,
1288500,16.923095703125,
1297500,14.38535308837890625,
1306500,15.08020782470703125,
1315500,18.136138916015625,
1324500,20.53241729736328125,
1333500,20.8268585205078125,
1342500,20.53530120849609375,
1351500,21.859588623046875,
1360500,23.16075897216796875,
1369500,25.72043609619140625,
1378500,24.04312896728515625,
1387500,23.25251007080078125,
1396500,25.10797119140625,
1405500,25.55686187744140625,
1414500,24.75555419921875,
1423500,22.66948699951171875,
1432500,20.41233062744140625,
1441500,26.63253021240234375,
1450500,26.4596099853515625,
1459500,27.210296630859375,
1468500,26.286712646484375,
1477500,27.788787841796875,
1486500,27.7605133056640625,
1495500,30.75069427490234375,
1504500,30.89641571044921875,
1513500,27.17321014404296875,
1522500,30.02590179443359375,
1531500,29.019775390625,
1540500,28.9399261474609375,
1549500,25.4994659423828125,
1558500,23.9110107421875,
1567500,22.687408447265625,
1576500,24.3206787109375,
1585500,22.7020721435546875,
1594500,23.2505340576171875,
1603500,21.781494140625,
1612500,19.25014495849609375,
1621500,20.1021270751953125,
1630500,21.4335784912109375,
1639500,20.8192291259765625,
1648500,19.612274169921875,
1657500,20.02408599853515625,
1666500,19.1783599853515625,
1675500,17.5019073486328125,
1684500,13.3672027587890625,
1693500,14.57294464111328125,
1702500,17.413665771484375,
1711500,17.6898193359375,
1720500,15.51667022705078125,
