sep=,
Type,FSVA3013,
Version,1.40,
Date,26.Mar 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,1.000000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,5000,
1000500000,6.26738739013671875,
1001500000,6.02257537841796875,
1002500000,5.98358917236328125,
1003500000,5.9434661865234375,
1004500000,5.710357666015625,
1005500000,5.87244415283203125,
1006500000,5.91655731201171875,
1007500000,6.0785675048828125,
1008500000,6.17706298828125,
1009500000,6.26531219482421875,
1010500000,6.14949798583984375,
1011500000,6.24571990966796875,
1012500000,6.5146942138671875,
1013500000,6.292633056640625,
1014500000,6.10007476806640625,
1015500000,6.42998504638671875,
1016500000,5.9166107177734375,
1017500000,6.179962158203125,
1018500000,6.1446075439453125,
1019500000,6.2678680419921875,
1020500000,6.436920166015625,
1021500000,6.4938812255859375,
1022500000,6.43972015380859375,
1023500000,6.28672027587890625,
1024500000,6.02861785888671875,
1025500000,5.97034454345703125,
1026500000,5.73816680908203125,
1027500000,5.4899749755859375,
1028500000,5.5121002197265625,
1029500000,5.6238555908203125,
1030500000,5.566680908203125,
1031500000,5.5191192626953125,
1032500000,5.51312255859375,
1033500000,5.52215576171875,
1034500000,5.41576385498046875,
1035500000,5.27098846435546875,
1036500000,5.39398956298828125,
1037500000,5.3571014404296875,
1038500000,5.7385406494140625,
1039500000,5.575347900390625,
1040500000,5.807342529296875,
1041500000,5.35521697998046875,
1042500000,5.1209564208984375,
1043500000,5.2978515625,
1044500000,4.878082275390625,
1045500000,4.85507965087890625,
1046500000,4.751434326171875,
1047500000,4.62468719482421875,
1048500000,4.53530120849609375,
1049500000,4.7257232666015625,
1050500000,4.61443328857421875,
1051500000,4.5510101318359375,
1052500000,4.27849578857421875,
1053500000,4.641448974609375,
1054500000,4.65357208251953125,
1055500000,4.6399078369140625,
1056500000,4.833526611328125,
1057500000,4.35079193115234375,
1058500000,4.4520721435546875,
1059500000,4.39316558837890625,
1060500000,4.31574249267578125,
1061500000,4.4593505859375,
1062500000,4.4968109130859375,
1063500000,4.251434326171875,
1064500000,4.03556060791015625,
1065500000,4.0185699462890625,
1066500000,4.08486175537109375,
1067500000,3.95015716552734375,
1068500000,3.8640289306640625,
1069500000,3.9564361572265625,
1070500000,4.29956817626953125,
1071500000,4.26773834228515625,
1072500000,4.48403167724609375,
1073500000,4.59912872314453125,
1074500000,4.59084320068359375,
1075500000,4.520721435546875,
1076500000,4.4407806396484375,
1077500000,4.27338409423828125,
1078500000,4.6804351806640625,
1079500000,4.93743133544921875,
1080500000,4.9957733154296875,
1081500000,4.98755645751953125,
1082500000,5.34629058837890625,
1083500000,4.8482208251953125,
1084500000,5.0657501220703125,
1085500000,4.95003509521484375,
1086500000,5.0776214599609375,
1087500000,4.8992156982421875,
1088500000,5.25193023681640625,
1089500000,5.422088623046875,
1090500000,5.5579071044921875,
1091500000,5.67208099365234375,
1092500000,5.88381195068359375,
1093500000,5.31656646728515625,
1094500000,5.3898162841796875,
1095500000,5.42041778564453125,
1096500000,5.43128204345703125,
1097500000,5.5391082763671875,
1098500000,5.891693115234375,
1099500000,6.1626129150390625,
1100500000,6.1705322265625,
1101500000,6.374603271484375,
1102500000,6.26895904541015625,
1103500000,6.01094818115234375,
1104500000,6.26998138427734375,
1105500000,6.24951171875,
1106500000,6.52306365966796875,
1107500000,6.501190185546875,
1108500000,6.482452392578125,
1109500000,6.720672607421875,
1110500000,6.61354827880859375,
1111500000,6.65419769287109375,
1112500000,6.4609527587890625,
1113500000,6.30413055419921875,
1114500000,6.030853271484375,
1115500000,5.92425537109375,
1116500000,5.57093048095703125,
1117500000,5.50565338134765625,
1118500000,5.4616241455078125,
1119500000,5.3028411865234375,
1120500000,5.35424041748046875,
1121500000,5.4415740966796875,
1122500000,5.501373291015625,
1123500000,5.34417724609375,
1124500000,5.4373626708984375,
1125500000,5.28108978271484375,
1126500000,5.0203704833984375,
1127500000,5.08325958251953125,
1128500000,4.9933624267578125,
1129500000,5.09161376953125,
1130500000,4.8460845947265625,
1131500000,4.8858184814453125,
1132500000,4.76088714599609375,
1133500000,4.59401702880859375,
1134500000,4.56585693359375,
1135500000,4.58551788330078125,
1136500000,4.45450592041015625,
1137500000,4.2537689208984375,
1138500000,4.2003173828125,
1139500000,4.29958343505859375,
1140500000,4.5930023193359375,
1141500000,4.65547943115234375,
1142500000,4.65563201904296875,
1143500000,4.9300689697265625,
1144500000,4.99982452392578125,
1145500000,4.96382904052734375,
1146500000,4.84698486328125,
1147500000,4.99871063232421875,
1148500000,4.95159912109375,
1149500000,5.05803680419921875,
1150500000,6.55352020263671875,
1151500000,5.3916015625,
1152500000,5.01081085205078125,
1153500000,5.0576019287109375,
1154500000,4.8867034912109375,
1155500000,4.7732391357421875,
1156500000,4.568817138671875,
