sep=,
Type,FSVA3013,
Version,1.40,
Date,26.Mar 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,514980000.000000,Hz
Freq Offset,0.000000,Hz
Start,30060000.000000,Hz
Stop,999900000.000000,Hz
Span,969840000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,120000.000000,Hz
VBW,1000000.000000,Hz
SWT,0.674000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,8083,
30060000,16.34305572509765625,
30180000,18.02431488037109375,
30300000,20.27721405029296875,
30420000,16.1857757568359375,
30540000,17.35755157470703125,
30660000,19.71353912353515625,
30780000,16.47344970703125,
30900000,16.20415496826171875,
31020000,17.93007659912109375,
31140000,17.16943359375,
31260000,15.30722808837890625,
31380000,17.08368682861328125,
31500000,18.32250213623046875,
31620000,15.2171478271484375,
31740000,16.69258880615234375,
31860000,19.98078155517578125,
31980000,21.5446014404296875,
32100000,15.86647796630859375,
32220000,16.04985809326171875,
32340000,16.93487548828125,
32460000,15.79889678955078125,
32580000,17.28594207763671875,
32700000,15.9634246826171875,
32820000,15.13512420654296875,
32940000,15.84127044677734375,
33060000,16.38846588134765625,
33180000,16.37353515625,
33300000,15.60518646240234375,
33420000,15.52020263671875,
33540000,16.25099945068359375,
33660000,15.4941558837890625,
33780000,15.4676971435546875,
33900000,15.44467926025390625,
34020000,15.3364715576171875,
34140000,15.07794952392578125,
34260000,15.79802703857421875,
34380000,15.4522247314453125,
34500000,15.16278076171875,
34620000,15.92162322998046875,
34740000,15.5634765625,
34860000,15.46501922607421875,
34980000,16.33205413818359375,
35100000,17.3711700439453125,
35220000,15.22742462158203125,
35340000,17.94220733642578125,
35460000,17.00508880615234375,
35580000,15.7975006103515625,
35700000,15.53296661376953125,
35820000,16.08592987060546875,
35940000,17.2662200927734375,
36060000,16.34827423095703125,
36180000,17.2536163330078125,
36300000,16.94538116455078125,
36420000,14.9517059326171875,
36540000,16.9143218994140625,
36660000,17.74019622802734375,
36780000,15.4073486328125,
36900000,15.96878814697265625,
37020000,16.108123779296875,
37140000,16.71566009521484375,
37260000,16.76624298095703125,
37380000,16.23211669921875,
37500000,17.71422576904296875,
37620000,18.168304443359375,
37740000,18.07305908203125,
37860000,18.516845703125,
37980000,16.87639617919921875,
38100000,18.61449432373046875,
38220000,16.97682952880859375,
38340000,17.856903076171875,
38460000,15.98639678955078125,
38580000,16.08924102783203125,
38700000,16.4760284423828125,
38820000,17.45510101318359375,
38940000,17.8455047607421875,
39060000,17.958465576171875,
39180000,18.0000457763671875,
39300000,19.05754852294921875,
39420000,19.158843994140625,
39540000,18.864593505859375,
39660000,18.7835235595703125,
39780000,17.69097137451171875,
39900000,24.91645050048828125,
40020000,22.324188232421875,
40140000,17.9948272705078125,
40260000,19.5231781005859375,
40380000,18.77970123291015625,
40500000,17.9507293701171875,
40620000,20.2995452880859375,
40740000,19.06894683837890625,
40860000,21.07540130615234375,
40980000,19.5474090576171875,
41100000,18.79053497314453125,
41220000,19.26873016357421875,
41340000,17.96973419189453125,
41460000,18.48639678955078125,
41580000,18.4766693115234375,
41700000,20.4937896728515625,
41820000,18.70900726318359375,
41940000,17.4722747802734375,
42060000,20.442291259765625,
42180000,17.71083831787109375,
42300000,19.51690673828125,
42420000,18.7300872802734375,
42540000,17.53644561767578125,
42660000,19.86454010009765625,
42780000,18.285247802734375,
42900000,20.65074920654296875,
43020000,19.8132171630859375,
43140000,19.28372955322265625,
43260000,19.53258514404296875,
43380000,17.96227264404296875,
43500000,20.23551177978515625,
43620000,20.46730804443359375,
43740000,20.91851043701171875,
43860000,21.0393218994140625,
43980000,20.0274658203125,
44100000,20.584686279296875,
44220000,20.46694183349609375,
44340000,19.73468017578125,
44460000,23.052734375,
44580000,21.08913421630859375,
44700000,20.791656494140625,
44820000,21.964691162109375,
44940000,20.4034423828125,
45060000,20.9441986083984375,
45180000,22.14192962646484375,
45300000,21.56549835205078125,
45420000,22.3173828125,
45540000,20.699005126953125,
45660000,24.61017608642578125,
45780000,22.063323974609375,
45900000,22.000213623046875,
46020000,22.487701416015625,
46140000,21.92023468017578125,
46260000,23.24257659912109375,
46380000,23.3145599365234375,
46500000,23.382293701171875,
46620000,24.6533355712890625,
46740000,24.4708251953125,
46860000,24.71360015869140625,
46980000,25.03768157958984375,
47100000,24.52988433837890625,
47220000,25.13283538818359375,
47340000,24.8365325927734375,
47460000,24.69870758056640625,
47580000,24.36382293701171875,
47700000,25.04283905029296875,
47820000,25.60247802734375,
47940000,26.13555908203125,
48060000,25.5986175537109375,
48180000,24.878875732421875,
48300000,25.48897552490234375,
48420000,25.52850341796875,
48540000,25.06818389892578125,
48660000,24.34343719482421875,
48780000,24.04010009765625,
48900000,22.98297119140625,
49020000,22.92583465576171875,
49140000,22.164794921875,
49260000,22.91812896728515625,
49380000,21.9470672607421875,
49500000,21.05731964111328125,
49620000,21.42098236083984375,
49740000,20.6910400390625,
49860000,21.91014862060546875,
49980000,20.39948272705078125,
50100000,19.5792694091796875,
50220000,21.14374542236328125,
