sep=,
Type,FSVA3013,
Version,1.40,
Date,31.Jan 2022,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,1.000000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-3.0529632568359375,
1001500000,-2.8350982666015625,
1002500000,-2.9895782470703125,
1003500000,-3.31142425537109375,
1004500000,-3.3045806884765625,
1005500000,-3.2975921630859375,
1006500000,-3.4913787841796875,
1007500000,-3.5947723388671875,
1008500000,-3.560760498046875,
1009500000,-3.60790252685546875,
1010500000,-3.62732696533203125,
1011500000,-3.6115264892578125,
1012500000,-3.4622802734375,
1013500000,-3.3885650634765625,
1014500000,-2.93780517578125,
1015500000,-3.13751983642578125,
1016500000,-2.9793548583984375,
1017500000,-2.9774932861328125,
1018500000,-2.98902130126953125,
1019500000,-3.325225830078125,
1020500000,-3.1331024169921875,
1021500000,-3.2324981689453125,
1022500000,-3.55832672119140625,
1023500000,-3.65833282470703125,
1024500000,-4.00823211669921875,
1025500000,-3.91446685791015625,
1026500000,-3.8106842041015625,
1027500000,-3.71136474609375,
1028500000,-3.5461273193359375,
1029500000,-3.1582183837890625,
1030500000,-1.112945556640625,
1031500000,-2.93607330322265625,
1032500000,-3.279266357421875,
1033500000,-3.4449615478515625,
1034500000,-3.21588134765625,
1035500000,-3.08202362060546875,
1036500000,-3.3494873046875,
1037500000,-3.48715972900390625,
1038500000,-3.6126861572265625,
1039500000,-3.5038604736328125,
1040500000,-2.64885711669921875,
1041500000,-2.3571319580078125,
1042500000,-3.68795013427734375,
1043500000,-3.7648468017578125,
1044500000,-3.96097564697265625,
1045500000,-3.5864410400390625,
1046500000,-3.57141876220703125,
1047500000,-3.2882232666015625,
1048500000,-3.18609619140625,
1049500000,-3.12146759033203125,
1050500000,-3.22338104248046875,
1051500000,-3.1891326904296875,
1052500000,-3.37752532958984375,
1053500000,-3.26076507568359375,
1054500000,-3.41274261474609375,
1055500000,-3.3671722412109375,
1056500000,-3.56194305419921875,
1057500000,-3.7247467041015625,
1058500000,-3.77509307861328125,
1059500000,-3.808135986328125,
1060500000,-3.69434356689453125,
1061500000,-1.48587799072265625,
1062500000,-0.6693572998046875,
1063500000,-0.49208831787109375,
1064500000,-0.6607666015625,
1065500000,-0.82544708251953125,
1066500000,-2.1037139892578125,
1067500000,-3.07469940185546875,
1068500000,-3.1468048095703125,
1069500000,-3.1456146240234375,
1070500000,-3.3092498779296875,
1071500000,-3.4721832275390625,
1072500000,-3.2410125732421875,
1073500000,-3.30239105224609375,
1074500000,-3.45214080810546875,
1075500000,-3.552734375,
1076500000,-3.44793701171875,
1077500000,-3.224334716796875,
1078500000,-3.06403350830078125,
1079500000,-2.658050537109375,
1080500000,-2.84514617919921875,
1081500000,-2.856048583984375,
1082500000,-2.67859649658203125,
1083500000,-2.7252044677734375,
1084500000,-2.64688873291015625,
1085500000,-2.5734405517578125,
1086500000,-2.497589111328125,
1087500000,-2.81391143798828125,
1088500000,-2.79241943359375,
1089500000,-3.03220367431640625,
1090500000,-2.9820556640625,
1091500000,-3.16086578369140625,
1092500000,-3.10605621337890625,
1093500000,-3.20568084716796875,
1094500000,-3.26201629638671875,
1095500000,-2.9200286865234375,
1096500000,-2.7710418701171875,
1097500000,-2.8918914794921875,
1098500000,-2.71706390380859375,
1099500000,-2.58415985107421875,
1100500000,-2.59307098388671875,
1101500000,-2.4903717041015625,
1102500000,-2.547119140625,
1103500000,-2.8862152099609375,
1104500000,-2.86202239990234375,
1105500000,-2.64092254638671875,
1106500000,-2.28905487060546875,
1107500000,-2.8266754150390625,
1108500000,-3.1918487548828125,
1109500000,-3.02410888671875,
1110500000,-3.02619171142578125,
1111500000,-3.18143463134765625,
1112500000,-3.12493133544921875,
1113500000,-2.75452423095703125,
1114500000,-2.7375946044921875,
1115500000,-1.79590606689453125,
1116500000,0.72394561767578125,
1117500000,-2.31169891357421875,
1118500000,-2.38938140869140625,
1119500000,-2.5992431640625,
1120500000,-2.5916595458984375,
1121500000,-2.641998291015625,
1122500000,-2.7248077392578125,
1123500000,-2.7385101318359375,
1124500000,-2.5870819091796875,
1125500000,-2.43788909912109375,
1126500000,-2.36698150634765625,
1127500000,-2.34375,
1128500000,-2.31368255615234375,
1129500000,-1.96108245849609375,
1130500000,-1.86624908447265625,
1131500000,-1.63568878173828125,
1132500000,-1.48603057861328125,
1133500000,-1.5541229248046875,
1134500000,-1.73940277099609375,
1135500000,-1.725738525390625,
1136500000,-1.72574615478515625,
1137500000,-1.78913116455078125,
1138500000,-1.9323272705078125,
1139500000,-2.25075531005859375,
1140500000,-2.1785125732421875,
1141500000,-2.28740692138671875,
1142500000,-2.3516845703125,
1143500000,-2.36175537109375,
1144500000,-2.391448974609375,
1145500000,-2.43544769287109375,
1146500000,-2.3139495849609375,
