sep=,
Type,FSVA3013,
Version,1.40,
Date,31.Jan 2022,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,3500000000.000000,Hz
Freq Offset,0.000000,Hz
Start,1000500000.000000,Hz
Stop,5999500000.000000,Hz
Span,4999000000.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,1000000.000000,Hz
VBW,10000000.000000,Hz
SWT,1.000000,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,5000,
1000500000,-3.38550567626953125,
1001500000,-3.4278564453125,
1002500000,-3.68679046630859375,
1003500000,-3.63525390625,
1004500000,-3.91431427001953125,
1005500000,-4.01631927490234375,
1006500000,-4.08660888671875,
1007500000,-4.30185699462890625,
1008500000,-4.0345001220703125,
1009500000,-3.9128265380859375,
1010500000,-3.89127349853515625,
1011500000,-3.5853118896484375,
1012500000,-3.18418121337890625,
1013500000,-3.0993499755859375,
1014500000,-3.09935760498046875,
1015500000,-3.05049896240234375,
1016500000,-2.9826507568359375,
1017500000,-2.69393157958984375,
1018500000,-2.93247222900390625,
1019500000,-2.96002197265625,
1020500000,-3.04203033447265625,
1021500000,-3.2419891357421875,
1022500000,-3.3368988037109375,
1023500000,-3.21112060546875,
1024500000,-3.40691375732421875,
1025500000,-3.62358856201171875,
1026500000,-3.6504669189453125,
1027500000,-3.47238922119140625,
1028500000,-3.6680755615234375,
1029500000,-3.39792633056640625,
1030500000,-3.11615753173828125,
1031500000,-3.03789520263671875,
1032500000,-3.090728759765625,
1033500000,-2.8353118896484375,
1034500000,-3.0739898681640625,
1035500000,-3.1090545654296875,
1036500000,-3.2342376708984375,
1037500000,-3.29361724853515625,
1038500000,-3.30731964111328125,
1039500000,-3.1924896240234375,
1040500000,-3.34226226806640625,
1041500000,-3.66133880615234375,
1042500000,-3.65728759765625,
1043500000,-3.5111236572265625,
1044500000,-3.53533935546875,
1045500000,-3.32059478759765625,
1046500000,-3.1048431396484375,
1047500000,-3.2782745361328125,
1048500000,-2.96863555908203125,
1049500000,-2.77692413330078125,
1050500000,-2.82106781005859375,
1051500000,-2.57944488525390625,
1052500000,-2.94866943359375,
1053500000,-3.06029510498046875,
1054500000,-2.9705047607421875,
1055500000,-1.71307373046875,
1056500000,-2.95624542236328125,
1057500000,-3.0374755859375,
1058500000,-2.97322845458984375,
1059500000,-2.9957733154296875,
1060500000,-2.83405303955078125,
1061500000,1.30248260498046875,
1062500000,2.44641876220703125,
1063500000,2.296630859375,
1064500000,1.82013702392578125,
1065500000,1.59165191650390625,
1066500000,-1.11895751953125,
1067500000,-2.7149200439453125,
1068500000,-2.74847412109375,
1069500000,-2.62480926513671875,
1070500000,-2.8318328857421875,
1071500000,-2.90744781494140625,
1072500000,-3.1407623291015625,
1073500000,-2.91707611083984375,
1074500000,-3.11653900146484375,
1075500000,-3.08747100830078125,
1076500000,-2.96728515625,
1077500000,-3.0243988037109375,
1078500000,-3.0622711181640625,
1079500000,-2.7714080810546875,
1080500000,-2.54276275634765625,
1081500000,-2.39354705810546875,
1082500000,-2.3327178955078125,
1083500000,-2.39240264892578125,
1084500000,-2.26340484619140625,
1085500000,-2.238739013671875,
1086500000,-2.371185302734375,
1087500000,-2.216644287109375,
1088500000,-2.33690643310546875,
1089500000,-2.3985748291015625,
1090500000,-2.58231353759765625,
1091500000,-2.77425384521484375,
1092500000,-2.56789398193359375,
1093500000,-2.5201416015625,
1094500000,-2.70770263671875,
1095500000,-2.4534149169921875,
1096500000,-2.6803131103515625,
1097500000,-2.1865234375,
1098500000,-2.12351226806640625,
1099500000,-1.988250732421875,
1100500000,-2.24118804931640625,
1101500000,-2.57585906982421875,
1102500000,-2.35771942138671875,
1103500000,-2.54923248291015625,
1104500000,-2.588104248046875,
1105500000,-2.38123321533203125,
1106500000,-2.6637115478515625,
1107500000,-2.37953948974609375,
1108500000,-2.73255157470703125,
1109500000,-2.41188812255859375,
1110500000,-2.66396331787109375,
1111500000,-2.6328887939453125,
1112500000,-2.4227142333984375,
1113500000,-2.1931304931640625,
1114500000,-2.2119293212890625,
1115500000,-2.31641387939453125,
1116500000,-2.3203582763671875,
1117500000,-2.2357635498046875,
1118500000,-2.13181304931640625,
1119500000,-2.122100830078125,
1120500000,-2.06848907470703125,
1121500000,-2.4492034912109375,
1122500000,-2.638214111328125,
1123500000,-2.78626251220703125,
1124500000,-2.89142608642578125,
1125500000,-2.66332244873046875,
1126500000,-2.6167144775390625,
1127500000,-2.65032196044921875,
1128500000,-2.5372161865234375,
1129500000,-2.6153564453125,
1130500000,-2.547637939453125,
1131500000,-2.06595611572265625,
1132500000,-2.05985260009765625,
1133500000,-2.24334716796875,
1134500000,-2.3613739013671875,
1135500000,-2.65244293212890625,
1136500000,-2.70623016357421875,
1137500000,-2.93312835693359375,
1138500000,-2.95339202880859375,
1139500000,-3.11894989013671875,
1140500000,-3.3296661376953125,
1141500000,-3.327178955078125,
1142500000,-3.40375518798828125,
1143500000,-3.15961456298828125,
1144500000,-3.3732757568359375,
1145500000,-3.20833587646484375,
1146500000,-3.0579833984375,
