sep=,
Type,FSVA3013,
Version,1.40,
Date,31.Jan 2022,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,-3.278778076171875,
9300,-6.619110107421875,
9500,-6.2596435546875,
9700,-6.83551788330078125,
9900,-6.4537506103515625,
10100,-6.3500823974609375,
10300,-7.0667266845703125,
10500,-7.8231048583984375,
10700,-7.59862518310546875,
10900,-5.46031951904296875,
11100,-8.62835693359375,
11300,-7.1210479736328125,
11500,-7.2395477294921875,
11700,-8.09731292724609375,
11900,-6.61407470703125,
12100,-8.80637359619140625,
12300,-7.49480438232421875,
12500,-7.53672027587890625,
12700,-6.3594970703125,
12900,-5.4301300048828125,
13100,-6.419647216796875,
13300,-7.32378387451171875,
13500,-7.811370849609375,
13700,-7.617095947265625,
13900,-6.304656982421875,
14100,-5.78507232666015625,
14300,-6.73860931396484375,
14500,-7.5084075927734375,
14700,-6.95420074462890625,
14900,-7.6624298095703125,
15100,-9.34854888916015625,
15300,-6.959564208984375,
15500,-7.53234100341796875,
15700,-8.199951171875,
15900,-6.7967071533203125,
16100,-6.881561279296875,
16300,-10.29534149169921875,
16500,-7.4612274169921875,
16700,-7.75005340576171875,
16900,-8.6959381103515625,
17100,-6.1524200439453125,
17300,-7.2455596923828125,
17500,-8.82006072998046875,
17700,-7.31223297119140625,
17900,-7.60707855224609375,
18100,-9.5599822998046875,
18300,-8.9398040771484375,
18500,-7.52709197998046875,
18700,-8.26351165771484375,
18900,-8.92809295654296875,
19100,-7.836334228515625,
19300,-9.57125091552734375,
19500,-7.3867645263671875,
19700,-9.62830352783203125,
19900,-9.35794830322265625,
20100,-9.9529571533203125,
20300,-7.544921875,
20500,-8.09917449951171875,
20700,-8.5772552490234375,
20900,-9.19887542724609375,
21100,-9.52507781982421875,
21300,-9.0431976318359375,
21500,-7.96955108642578125,
21700,-8.24597930908203125,
21900,-7.34732818603515625,
22100,-8.998260498046875,
22300,-8.65424346923828125,
22500,-8.73284912109375,
22700,-7.61086273193359375,
22900,-7.44103240966796875,
23100,-8.109039306640625,
23300,-8.19170379638671875,
23500,-9.8897552490234375,
23700,-9.268157958984375,
23900,-6.86080169677734375,
24100,-8.03046417236328125,
24300,-6.24803924560546875,
24500,-10.71053314208984375,
24700,-8.20128631591796875,
24900,-8.52663421630859375,
25100,-8.15889739990234375,
25300,-10.12545013427734375,
25500,-10.76766204833984375,
25700,-9.71407318115234375,
25900,-9.73566436767578125,
26100,-8.37258148193359375,
26300,-8.1224822998046875,
26500,-9.06789398193359375,
26700,-10.2642822265625,
26900,-8.32326507568359375,
27100,-9.23859405517578125,
27300,-10.86562347412109375,
27500,-9.0049591064453125,
27700,-9.4228668212890625,
27900,-10.188568115234375,
28100,-8.786346435546875,
28300,-9.38531494140625,
28500,-9.388946533203125,
28700,-9.0513153076171875,
28900,-11.2308197021484375,
29100,-12.57616424560546875,
29300,-11.18145751953125,
29500,-10.3379058837890625,
29700,-8.7584075927734375,
29900,-9.45963287353515625,
30100,-8.96380615234375,
30300,-10.037109375,
30500,-7.7722930908203125,
30700,-6.308685302734375,
30900,-8.46297454833984375,
31100,-9.76491546630859375,
31300,-9.70252227783203125,
31500,-9.6679534912109375,
31700,-10.6353912353515625,
31900,-9.12445831298828125,
32100,-10.48415374755859375,
32300,-9.38825225830078125,
32500,-8.7134246826171875,
32700,-9.0610504150390625,
32900,-10.1971435546875,
33100,-9.51441192626953125,
33300,-8.48480224609375,
33500,-10.43000030517578125,
33700,-9.27570343017578125,
33900,-12.00605010986328125,
34100,-7.57775115966796875,
34300,-9.42493438720703125,
34500,-10.69573974609375,
34700,-9.29160308837890625,
34900,-9.6761474609375,
35100,-9.1684112548828125,
35300,-10.01132965087890625,
35500,-9.24970245361328125,
35700,-11.25112152099609375,
35900,-9.54462432861328125,
36100,-8.4122467041015625,
36300,-6.07942962646484375,
36500,-8.49050140380859375,
36700,-9.612213134765625,
36900,-8.46799468994140625,
37100,-8.98081207275390625,
37300,-8.5129852294921875,
37500,-7.7473907470703125,
37700,-9.50702667236328125,
37900,-9.2003173828125,
38100,-7.25351715087890625,
38300,-8.39217376708984375,
38500,-8.29563140869140625,
38700,-7.65566253662109375,
38900,-8.2682647705078125,
39100,-8.31790924072265625,
39300,-8.50725555419921875,
39500,-10.06099700927734375,
39700,-11.1753997802734375,
39900,-9.90118408203125,
40100,-12.52154541015625,
40300,-10.2680206298828125,
40500,-9.3713531494140625,
40700,-11.06533050537109375,
40900,-10.8599395751953125,
41100,-11.4768524169921875,
41300,-8.8910369873046875,
41500,-8.68137359619140625,
41700,-10.0426025390625,
41900,-10.084808349609375,
42100,-9.13475799560546875,
42300,-10.2352294921875,
42500,-8.72530364990234375,
42700,-7.9279632568359375,
