sep=,
Type,FSVA3013,
Version,1.40,
Date,31.Jan 2022,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,-7.2270965576171875,
9300,-5.7750091552734375,
9500,-7.19188690185546875,
9700,-7.780914306640625,
9900,-5.4597320556640625,
10100,-5.20458984375,
10300,-6.20330047607421875,
10500,-7.62789154052734375,
10700,-6.86843109130859375,
10900,-6.41997528076171875,
11100,-6.31934356689453125,
11300,-3.92291259765625,
11500,-6.4629974365234375,
11700,-7.32466888427734375,
11900,-5.7108001708984375,
12100,-6.00794219970703125,
12300,-7.4026641845703125,
12500,-8.71949005126953125,
12700,-8.27642059326171875,
12900,-8.996490478515625,
13100,-6.89191436767578125,
13300,-10.0306854248046875,
13500,-6.9795989990234375,
13700,-4.716278076171875,
13900,-6.01079559326171875,
14100,-7.71640777587890625,
14300,-6.188751220703125,
14500,-6.6875457763671875,
14700,-6.23590850830078125,
14900,-10.6622772216796875,
15100,-8.614654541015625,
15300,-6.68228912353515625,
15500,-9.7254180908203125,
15700,-9.2318267822265625,
15900,-7.38494873046875,
16100,-8.773193359375,
16300,-7.07273101806640625,
16500,-7.30469512939453125,
16700,-7.67156982421875,
16900,-7.18780517578125,
17100,-8.62178802490234375,
17300,-7.4657135009765625,
17500,-7.6258544921875,
17700,-9.396453857421875,
17900,-8.88910675048828125,
18100,-9.07665252685546875,
18300,-9.1957550048828125,
18500,-8.76924896240234375,
18700,-7.73260498046875,
18900,-8.55374908447265625,
19100,-9.9686431884765625,
19300,-7.86592864990234375,
19500,-9.07982635498046875,
19700,-8.85689544677734375,
19900,-9.4263153076171875,
20100,-8.5782318115234375,
20300,-7.2787628173828125,
20500,-8.12823486328125,
20700,-9.70098114013671875,
20900,-9.75537872314453125,
21100,-8.42414093017578125,
21300,-9.5152587890625,
21500,-9.5070953369140625,
21700,-8.12488555908203125,
21900,-7.18255615234375,
22100,-10.157867431640625,
22300,-9.67504119873046875,
22500,-9.3424224853515625,
22700,-9.46376800537109375,
22900,-10.28751373291015625,
23100,-9.5338897705078125,
23300,-9.28548431396484375,
23500,-8.81951141357421875,
23700,-10.67642974853515625,
23900,-6.841888427734375,
24100,-9.443023681640625,
24300,-9.46590423583984375,
24500,-8.30756378173828125,
24700,-8.0224761962890625,
24900,-8.43401336669921875,
25100,-9.49823760986328125,
25300,-9.64916229248046875,
25500,-10.03743743896484375,
25700,-10.816925048828125,
25900,-7.5995635986328125,
26100,-8.531982421875,
26300,-9.3850555419921875,
26500,-10.346832275390625,
26700,-7.28263092041015625,
26900,-9.264007568359375,
27100,-9.80529022216796875,
27300,-10.40598297119140625,
27500,-7.9898681640625,
27700,-7.80928802490234375,
27900,-9.85373687744140625,
28100,-7.88669586181640625,
28300,-8.75946807861328125,
28500,-10.9857025146484375,
28700,-9.26607513427734375,
28900,-10.78661346435546875,
29100,-9.8968353271484375,
29300,-9.113861083984375,
29500,-9.83261871337890625,
29700,-9.457183837890625,
29900,-8.38971710205078125,
30100,-9.3099822998046875,
30300,-8.78035736083984375,
30500,-10.3855133056640625,
30700,-8.87677001953125,
30900,-9.05525970458984375,
31100,-8.4174041748046875,
31300,-8.19846343994140625,
31500,-9.42275238037109375,
31700,-9.4720001220703125,
31900,-8.28285980224609375,
32100,-12.08031463623046875,
32300,-9.58304595947265625,
32500,-10.55242156982421875,
32700,-11.58132171630859375,
32900,-9.14766693115234375,
33100,-8.84468841552734375,
33300,-9.1606597900390625,
33500,-11.8614654541015625,
33700,-10.41986846923828125,
33900,-9.21327972412109375,
34100,-9.16155242919921875,
34300,-9.0832672119140625,
34500,-8.32625579833984375,
34700,-8.70099639892578125,
34900,-11.87897491455078125,
35100,-9.86945343017578125,
35300,-9.88027191162109375,
35500,-5.84447479248046875,
35700,-2.68491363525390625,
35900,-7.673431396484375,
36100,-9.8267974853515625,
36300,-9.93715667724609375,
36500,-8.837554931640625,
36700,-8.79990386962890625,
36900,-8.690460205078125,
37100,-9.02278900146484375,
37300,-8.487274169921875,
37500,-7.9756011962890625,
37700,-6.375457763671875,
37900,-6.8575286865234375,
38100,-7.216827392578125,
38300,-7.479736328125,
38500,-8.641265869140625,
38700,-8.81842041015625,
38900,-8.55042266845703125,
39100,-10.81764984130859375,
39300,-12.8064422607421875,
39500,-8.46149444580078125,
39700,-11.0165863037109375,
39900,-12.0317535400390625,
40100,-9.34232330322265625,
40300,-7.80277252197265625,
40500,-7.9076385498046875,
40700,-9.2098388671875,
40900,-8.78510284423828125,
41100,-10.4103546142578125,
41300,-10.13519287109375,
41500,-10.1843719482421875,
41700,-8.5555572509765625,
41900,-8.21776580810546875,
42100,-8.6463165283203125,
42300,-10.95264434814453125,
42500,-10.6542816162109375,
42700,-10.7518463134765625,
