sep=;
Type;FSVA3013;
Version;1.40;
Date;16.Oct 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;15076500.000000;Hz
Freq Offset;0.000000;Hz
Start;154500.000000;Hz
Stop;29998500.000000;Hz
Span;29844000.000000;Hz
Ref Level;62.000000;dBµV
Level Offset;0.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;9000.000000;Hz
VBW;100000.000000;Hz
SWT;0.000654;s
Sweep Count;10;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBµV;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;RMS;
Values;3317;
154500;36.80466461181640625;
163500;40.91004180908203125;
172500;37.798431396484375;
181500;53.490978240966796875;
190500;66.6331024169921875;
199500;55.28955078125;
208500;41.8287200927734375;
217500;37.44671630859375;
226500;37.01226043701171875;
235500;64.2219696044921875;
244500;62.249492645263671875;
253500;37.20633697509765625;
262500;37.91558074951171875;
271500;33.79410552978515625;
280500;52.393672943115234375;
289500;62.029598236083984375;
298500;46.339061737060546875;
307500;41.6818389892578125;
316500;42.12912750244140625;
325500;35.89551544189453125;
334500;61.772064208984375;
343500;57.69268035888671875;
352500;41.56097412109375;
361500;46.569835662841796875;
370500;41.22458648681640625;
379500;63.588474273681640625;
388500;65.468231201171875;
397500;36.53238677978515625;
406500;39.43401336669921875;
415500;34.14922332763671875;
424500;35.75916290283203125;
433500;57.015438079833984375;
442500;48.376995086669921875;
451500;34.38030242919921875;
460500;36.41713714599609375;
469500;30.50269317626953125;
478500;43.6190185546875;
487500;48.015354156494140625;
496500;32.15093231201171875;
505500;28.756927490234375;
514500;31.78064727783203125;
523500;32.37566375732421875;
532500;34.6958465576171875;
541500;33.500244140625;
550500;29.14279937744140625;
559500;31.01685333251953125;
568500;40.97316741943359375;
577500;48.51108551025390625;
586500;47.23892974853515625;
595500;40.0198516845703125;
604500;40.202239990234375;
613500;38.35888671875;
622500;45.738811492919921875;
631500;56.046527862548828125;
640500;46.945133209228515625;
649500;45.348102569580078125;
658500;37.92746734619140625;
667500;41.60205078125;
676500;55.7927093505859375;
685500;46.832691192626953125;
694500;40.9768829345703125;
703500;42.50165557861328125;
712500;48.86932373046875;
721500;52.5840301513671875;
730500;54.201416015625;
739500;42.73052215576171875;
748500;45.175952911376953125;
757500;52.574466705322265625;
766500;50.425571441650390625;
775500;51.18804931640625;
784500;49.09200286865234375;
793500;54.819423675537109375;
802500;52.50209808349609375;
811500;55.17305755615234375;
820500;54.05084991455078125;
829500;53.6104583740234375;
838500;56.086444854736328125;
847500;60.10616302490234375;
856500;56.643161773681640625;
865500;56.815032958984375;
874500;61.721843719482421875;
883500;61.05612945556640625;
892500;66.0395050048828125;
901500;61.577541351318359375;
910500;55.679492950439453125;
919500;60.220188140869140625;
928500;68.2205657958984375;
937500;60.924510955810546875;
946500;58.70697021484375;
955500;59.511920928955078125;
964500;58.057956695556640625;
973500;62.658374786376953125;
982500;54.33591461181640625;
991500;53.64073944091796875;
1000500;56.469181060791015625;
1009500;56.31081390380859375;
1018500;52.1931915283203125;
1027500;48.49100494384765625;
1036500;52.034267425537109375;
1045500;45.804931640625;
1054500;43.85697174072265625;
1063500;35.73087310791015625;
1072500;41.81842803955078125;
1081500;43.340496063232421875;
1090500;39.2625579833984375;
1099500;34.15811920166015625;
1108500;33.39328765869140625;
1117500;41.26015472412109375;
1126500;35.00167083740234375;
1135500;32.670318603515625;
1144500;29.9895782470703125;
1153500;33.5550537109375;
1162500;39.08435821533203125;
1171500;38.11278533935546875;
1180500;29.5783538818359375;
1189500;30.85112762451171875;
1198500;37.030303955078125;
1207500;33.4008026123046875;
1216500;44.253383636474609375;
1225500;34.14867401123046875;
1234500;35.45893096923828125;
1243500;34.95081329345703125;
1252500;36.379608154296875;
1261500;44.849884033203125;
1270500;40.86392974853515625;
1279500;41.21881103515625;
1288500;33.50481414794921875;
1297500;35.58411407470703125;
1306500;41.8293304443359375;
1315500;38.5583343505859375;
1324500;33.12313079833984375;
1333500;36.079376220703125;
1342500;38.834625244140625;
1351500;33.64005279541015625;
1360500;41.7470703125;
1369500;37.2790985107421875;
1378500;35.7876434326171875;
1387500;35.42996978759765625;
1396500;39.3060455322265625;
1405500;37.08316802978515625;
1414500;40.5188140869140625;
1423500;34.50385284423828125;
1432500;38.79851531982421875;
1441500;37.5673370361328125;
1450500;36.56627655029296875;
1459500;33.65345001220703125;
1468500;37.6751708984375;
1477500;41.435821533203125;
1486500;34.5284423828125;
1495500;31.87317657470703125;
1504500;40.455047607421875;
1513500;37.79528045654296875;
1522500;36.6087188720703125;
1531500;29.87305450439453125;
1540500;39.29596710205078125;
1549500;38.88770294189453125;
1558500;46.515529632568359375;
1567500;37.401214599609375;
1576500;39.71271514892578125;
1585500;45.3262786865234375;
1594500;44.16979217529296875;
1603500;44.385982513427734375;
1612500;45.3568267822265625;
1621500;41.56960296630859375;
1630500;40.3631591796875;
1639500;46.851688385009765625;
1648500;40.98552703857421875;
1657500;39.63727569580078125;
1666500;41.8994598388671875;
1675500;44.372882843017578125;
1684500;40.91568756103515625;
1693500;39.11175537109375;
1702500;41.6525726318359375;
1711500;37.973968505859375;
1720500;43.325473785400390625;
