sep=;
Type;FSVA3013;
Version;1.40;
Date;16.Oct 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;15076500.000000;Hz
Freq Offset;0.000000;Hz
Start;154500.000000;Hz
Stop;29998500.000000;Hz
Span;29844000.000000;Hz
Ref Level;62.000000;dBµV
Level Offset;0.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;9000.000000;Hz
VBW;100000.000000;Hz
SWT;0.000654;s
Sweep Count;10;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBµV;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;RMS;
Values;3317;
154500;24.94153594970703125;
163500;26.02748870849609375;
172500;31.900665283203125;
181500;53.82167816162109375;
190500;62.188564300537109375;
199500;44.5937652587890625;
208500;33.7510986328125;
217500;33.5876922607421875;
226500;37.40557098388671875;
235500;53.414852142333984375;
244500;46.08951568603515625;
253500;25.0790863037109375;
262500;33.6336669921875;
271500;30.561737060546875;
280500;50.215068817138671875;
289500;58.01972198486328125;
298500;34.5522613525390625;
307500;31.47801971435546875;
316500;34.1767578125;
325500;35.14394378662109375;
334500;51.084278106689453125;
343500;37.08864593505859375;
352500;29.60626983642578125;
361500;29.79225921630859375;
370500;28.5611114501953125;
379500;54.3115386962890625;
388500;52.294464111328125;
397500;32.66582489013671875;
406500;27.946075439453125;
415500;27.84581756591796875;
424500;40.35648345947265625;
433500;48.752155303955078125;
442500;29.44147491455078125;
451500;31.47104644775390625;
460500;29.734100341796875;
469500;28.71092987060546875;
478500;47.5142974853515625;
487500;42.29210662841796875;
496500;23.6298980712890625;
505500;29.97339630126953125;
514500;22.89362335205078125;
523500;37.38553619384765625;
532500;39.61353302001953125;
541500;34.78253936767578125;
550500;33.113067626953125;
559500;27.42023468017578125;
568500;30.69121551513671875;
577500;45.959285736083984375;
586500;29.290557861328125;
595500;21.638214111328125;
604500;23.772003173828125;
613500;29.0945281982421875;
622500;43.522613525390625;
631500;39.65595245361328125;
640500;30.4259490966796875;
649500;35.34296417236328125;
658500;32.3032073974609375;
667500;35.18015289306640625;
676500;47.94586181640625;
685500;33.67258453369140625;
694500;22.97476959228515625;
703500;28.5763397216796875;
712500;23.86603546142578125;
721500;43.368671417236328125;
730500;34.15103912353515625;
739500;26.1197357177734375;
748500;31.3570404052734375;
757500;29.6949310302734375;
766500;39.07328033447265625;
775500;43.721599578857421875;
784500;38.93125152587890625;
793500;34.18497467041015625;
802500;26.1798553466796875;
811500;36.17803955078125;
820500;42.26450347900390625;
829500;39.9638214111328125;
838500;43.5517578125;
847500;41.28958892822265625;
856500;47.749980926513671875;
865500;39.8361968994140625;
874500;49.147705078125;
883500;41.42125701904296875;
892500;40.710968017578125;
901500;42.61199188232421875;
910500;42.53609466552734375;
919500;41.00951385498046875;
928500;45.772006988525390625;
937500;44.70722198486328125;
946500;47.55133819580078125;
955500;47.10691070556640625;
964500;53.06479644775390625;
973500;50.3575286865234375;
982500;45.06805419921875;
991500;47.534084320068359375;
1000500;40.59540557861328125;
1009500;40.0542449951171875;
1018500;40.0659942626953125;
1027500;29.2959442138671875;
1036500;29.04479217529296875;
1045500;26.534820556640625;
1054500;24.95030975341796875;
1063500;32.76857757568359375;
1072500;24.373016357421875;
1081500;22.99793243408203125;
1090500;21.39815521240234375;
1099500;26.73661041259765625;
1108500;30.57370758056640625;
1117500;31.07086181640625;
1126500;17.01080322265625;
1135500;29.68389129638671875;
1144500;30.52301025390625;
1153500;40.03276824951171875;
1162500;36.29842376708984375;
1171500;36.00553131103515625;
1180500;31.0721893310546875;
1189500;27.16657257080078125;
1198500;22.15041351318359375;
1207500;33.290069580078125;
1216500;29.2288970947265625;
1225500;21.764678955078125;
1234500;15.999725341796875;
1243500;21.5506439208984375;
1252500;20.34764862060546875;
1261500;30.86826324462890625;
1270500;26.89177703857421875;
1279500;19.82833099365234375;
1288500;21.59915924072265625;
1297500;36.54434967041015625;
1306500;34.850006103515625;
1315500;29.499267578125;
1324500;32.2699127197265625;
1333500;37.39716339111328125;
1342500;29.81578826904296875;
1351500;31.2777557373046875;
1360500;23.33673095703125;
1369500;22.8888397216796875;
1378500;25.6499176025390625;
1387500;17.9980621337890625;
1396500;27.0426177978515625;
1405500;21.52935791015625;
1414500;22.61493682861328125;
1423500;20.43112945556640625;
1432500;21.9115753173828125;
1441500;25.39197540283203125;
1450500;26.05312347412109375;
1459500;26.76267242431640625;
1468500;22.5808258056640625;
1477500;23.62845611572265625;
1486500;30.404327392578125;
1495500;33.37042236328125;
1504500;23.16595458984375;
1513500;25.495635986328125;
1522500;32.07634735107421875;
1531500;25.2712249755859375;
1540500;33.7288665771484375;
1549500;32.82907867431640625;
1558500;21.2471466064453125;
1567500;24.25583648681640625;
1576500;21.48431396484375;
1585500;30.72200775146484375;
1594500;31.5473175048828125;
1603500;26.5664520263671875;
1612500;27.62592315673828125;
1621500;33.4100189208984375;
1630500;32.2746429443359375;
1639500;36.00220489501953125;
1648500;33.7632904052734375;
1657500;34.001251220703125;
1666500;28.33807373046875;
1675500;23.65851593017578125;
1684500;25.5282745361328125;
1693500;25.5806732177734375;
1702500;26.15261077880859375;
1711500;27.3324127197265625;
1720500;24.12796783447265625;
